Name,Control,Region,Locale,Admission Rate,ACT Median,SAT Average,Undergrad Population,% White,% Black,% Hispanic,% Asian,% American Indian,Average Cost,Average Faculty Salary,% Undergrads with Pell Grant,Completion Rate,% Undergrads 25+ y.o.,3 Year Default Rate,Median Debt,Average Age of Entry,Median Family Income,Poverty Rate,Median Earnings 8 years After Entry
North Central College,Private,Great Lakes,Mid-size City,0.6365,25,1125,2700,0.7752,0.0348,0.0826,0.0207,0.0026,41218,7337,0.2388,0.639,0.0597,5.4,20000,20.72999954,83750,3.579999924,40100
North Central University,Private,Great Plains,Large City,0.9521,23,1044,1106,0.7007,0.0289,0.0533,0.0127,0.0036,28800,7177,0.398,0.4549,0.0623,4.2,19500,20.42000008,60825,5.789999962,28700
North Dakota State University-Main Campus,Public,Great Plains,Mid-size City,0.841,24,1091,11629,0.8758,0.0244,0.0141,0.0132,0.0068,18277,8163,0.2251,0.5308,0.0888,3.3,17000,20.52000046,71695,6.590000153,41400
North Greenville University,Private,Southeast,Fringe Rural,0.5791,25,1137,2068,0.8356,0.0711,0.0218,0.0044,0.0039,28373,5568,0.3817,0.5464,0.0363,6.9,12000,20.39999962,53275,8.829999924,27000
North Park University,Private,Great Lakes,Large City,0.5234,22,1030,2190,0.5237,0.089,0.1845,0.053,0.0037,31065,7535,0.3695,0.563,0.2064,5.9,18750,22.29999924,60232.5,7.869999886,37300
Northeastern Illinois University,Public,Great Lakes,Large City,0.5981,19,890,8827,0.3694,0.1022,0.3506,0.0947,0.0022,22273,6988,0.4823,0.2034,0.448,6.7,11643.5,24.63999939,25711.5,11.56000042,33100
Northeastern State University,Public,Southwest,Remote Town,0.7337,21,970,7215,0.5185,0.0488,0.0371,0.0172,0.2266,13296,5721,0.4926,0.2969,0.3923,16.4,12500,24.20000076,28559,12.48999977,33000
Northeastern University,Private,New England,Large City,0.3231,32,1394,13204,0.4951,0.0344,0.0663,0.0996,0.0008,55914,11581,0.1424,0.8256,0.0152,4.2,25759.5,20.93000031,83394,5.690000057,56400
Northern Arizona University,Public,Southwest,Small City,0.9137,23,1050,22011,0.628,0.0325,0.1925,0.016,0.031,22771,7863,0.3778,0.4924,0.1989,10.2,15000,23.62000084,43127,10.52999973,36200
Northern Illinois University,Public,Great Lakes,Small Suburb,0.5613,22,1010,15782,0.5909,0.1672,0.13,0.0485,0.0018,27621,7834,0.4297,0.5095,0.1622,9.4,16500,20.76000023,64181,5.800000191,39500
Northern Kentucky University,Public,Southeast,Large Suburb,0.467,22,1024,11976,0.8201,0.0688,0.0244,0.0094,0.0032,14603,6780,0.3368,0.3792,0.2428,9.9,15000,22.48999977,53630,6.909999847,32800
Northern Michigan University,Public,Great Lakes,Remote Town,0.7313,22,1030,7959,0.8529,0.0237,0.0281,0.0055,0.02,18466,7442,0.3848,0.4829,0.1619,12.1,14601,21.34000015,57707,6.380000114,30800
Northern State University,Public,Great Plains,Remote Town,0.9334,22,1030,1758,0.8658,0.0176,0.0313,0.0063,0.0159,17334,6801,0.2255,0.4853,0.1769,11.2,12821,21.76000023,48591.5,9.069999695,30300
Northwest Missouri State University,Public,Great Plains,Remote Town,0.7241,23,1050,5274,0.8311,0.0648,0.0296,0.0059,0.0025,17005,6501,0.3557,0.5017,0.0451,9.5,14815,20.31999969,62365.5,6.960000038,34400
Northwest Nazarene University,Private,Rocky Mountains,Mid-size Suburb,0.617,25,1079,1251,0.7354,0.0144,0.0751,0.0144,0.0048,34498,5691,0.3735,0.4909,0.2991,3.6,19500,22.27000046,60526,7.389999866,32300
Northwest University,Private,Far West,Large Suburb,0.972,24,1079,1354,0.7312,0.0325,0.079,0.0539,0.0118,34608,6395,0.4199,0.4294,0.3067,4.6,14000,23.19000053,56863,5.949999809,35700
Northwestern College,Private,Great Plains,Distant Town,0.7609,24,1095,1147,0.8474,0.0227,0.0584,0.0096,0.0035,37884,6206,0.3222,0.6327,0.047,2.4,20500,19.73999977,68899,5.320000172,32600
Northwestern Oklahoma State University,Public,Southwest,Remote Town,0.598,20,930,2005,0.6673,0.0693,0.0668,0.0065,0.0678,13065,5246,0.4177,0.314,0.1892,16,7500,23.82999992,33698,10.5,33200
